coffeeshop_name,branch,has_other_branches,branch_locations,most_popular_branch,peak_hours,busiest_days,peak_season,best_weather_for_visits,best_selling_product,least_selling_product,avg_time_spent,dominant_age_group,new_vs_loyal_customers,visit_purpose,solo_vs_group_visits,customer_reaction_to_discounts,recent_campaign_types,products_in_campaigns,sales_difference_after_campaigns,preferred_payment_method,avg_order_price,wolt_vs_inhouse_orders,most_preferred_size,seating_capacity,holiday_customer_increase,has_loyalty_card,winter_weekday_orders,winter_weekend_orders,summer_weekday_orders,summer_weekend_orders,has_dietary_options,americano_price,latte_price,espresso_price,cappuccino_price,rafcoffee_price,whitemocha_price,blackmocha_price,hotchocolate_price,tea_price,phone,rating,review_count,excellent_reviews,good_reviews,average_reviews,poor_reviews,terrible_reviews,accepts_credit_cards,seating,free_wifi,visa,mastercard,delivery,takeout,reservations,street_parking,non_smoking_restaurants,parking_available,family_style,digital_payments,table_service,wine_and_beer,serves_alcohol,outdoor_seating,american_express,dog_friendly,full_bar,wheelchair_accessible,cash_only,discover,free_off_street_parking,drive_thru,television,live_music,highchairs_available,gift_cards_available,private_dining,playgrounds,buffet,sports_bars,jazz_bar,validated_parking,valet_parking,waterfront,beach
Gloria Jean's,Ganjlik,Bəli,"Ganjlik mall, Targovy, Port Baku mall, Port Baku residence, Park Bulvar mall, 28 mall, Ganjlik mall, Crescent mall, Nizami, Icharishahar, Gala shopping village","Targovy, Nizami, Ganjlik","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Latte,Hot Chocolate,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,"Xeyr, müştəri sayı eyni qalır",Bəli,100-200,100-200,200+,100-200,Bəli,5.3,5.8,3.9,5.8,8,7.5,7.5,6.6,4.8,Unknown,2.6,90,22,18,13,32,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoffeeLea,Ganjlik,Bəli,"Statistika, Ganjlik, Sumgait ",Ganjlik,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yaz,Günəşli günlər,Latte,Espresso,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,120,20%,Xeyr,100-200,200+,100-200,300+,Xeyr,5.5,6.5,3.9,6.5,7.5,7.5,7.5,7.9,4.9,+994 51 333 51 56,3.3,99,21,15,21,13,29,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Go Baku,Ganjlik,Bəli,"Targovy, Nariman Narimanov, Dalga Beach Aquapark resort",Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Mocha,30 dəqiqə,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",Tək gələnlər daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,5-8 Azn,Məkan daxilində daha çox sifariş var,Medium,10,"Xeyr, müştəri sayı eyni qalır",Bəli,0-50,0-50,0-50,0-50,Xeyr,4.9,5.8,3.5,6.3,7.5,7.5,7.5,8,4,+994 55 397 30 38,4.8,76,24,23,19,5,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Coffee Hub Baku,Ganjlik,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Qış,Günəşli günlər,Raf coffee,Mocha,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,90,20%,Xeyr,100-200,200+,100-200,300+,Bəli,5.7,7.3,4.3,7.5,8.5,8.5,8.5,8,5.5,+994 12 507 38 70,3.9,118,35,32,20,18,13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoffeeLea,Ganjlik,Bəli,"Ganjlik, Khatai, Statistika filialı, Sumgait ","Ganjlik , Khatai","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Mocha,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,100,10%,Xeyr,100-200,100-200,100-200,200+,Xeyr,5.5,6.5,3.9,6.5,7.5,7.5,7.5,7.9,4.9,+994 51 333 51 56,3.3,99,21,15,21,13,29,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baristica,Ganjlik,Bəli,Sahil,Ganjlik ,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Raf coffee,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,70,10%,Xeyr,50-100,100-200,100-200,200+,Xeyr,5.3,7.1,4.1,6.2,7.5,7.6,7.6,7.6,5,+994 50 833 52 55,3.5,63,20,12,1,16,14,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cozy Coffee Baku,Ganjlik,Xeyr,,,"Səhər (08:00 - 12:00), Günorta (12:00 - 16:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Latte,Mocha,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,10%,Xeyr,100-200,100-200,100-200,200+,Xeyr,6,7,2.5,8,9,9,9,9,2.5,+994 50 227 22 36,1.4,99,22,19,17,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Cup,Ganjlik,Bəli,"Nariman Narimanov, Khatai, Port Baku, Port Baku Walk, White city, Statistika, Targovy, Sevinc mall","Ganjlik, Nariman Narimanov, Targovy","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Qış,Günəşli günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Small,90,"Xeyr, müştəri sayı eyni qalır",Bəli,200+,100-200,200+,100-200,Bəli,6.2,8.3,3.5,6.9,8.3,8.3,8.3,7.9,5,+994 12 404 84 34,3.1,84,17,16,18,14,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupcup Coffee Baku,Nizami,Bəli,"Whitestone Towers, Targovy, Port Baku walk, Sea Breeze",Nizami,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Cappuccino,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",Tək gələnlər daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Small,50,10%,Bəli,100-200,100-200,200+,100-200,Bəli,6.1,6.9,4.2,6.9,8.3,8.3,8.3,7.3,5.5,+994 51 206 02 30,2.8,61,12,16,16,14,3,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Costa Coffee,Nizami,Bəli,"Ganjlik mall, Targovy, Daniz mall, Socar Tower, Maiden Tower, GYD Airport, Port Baku",Nizami,Səhər (08:00 - 12:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Americano,Mocha,30 dəqiqə,"18-24, 25-34, 35-44",Daimi,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,1+1 (1 alana 1 pulsuz),Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,35,"Xeyr, müştəri sayı eyni qalır",Bəli,100-200,50-100,100-200,100-200,Bəli,5.3,6,4,6,7.5,7.5,7.5,6,5.5,+994 12 860 88 60,4,32,8,8,6,8,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,Nizami,Bəli,"Ganjlik mall, 28 mall, Port Baku, Targovy, Daniz mall, Crescent mall","Nizami, Targovy",Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Cappuccino,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,Məkan içində iş görmək,2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,70,10%,Xeyr,200+,100-200,200+,100-200,Bəli,7.2,8,5.6,8,10.2,10.2,10.2,8,5.3,+994 12 404 88 72,4.4,45,10,16,0,9,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria Jean's,Nizami,Bəli,"Targovy, Port Baku mall, Port Baku residence, Park Bulvar mall, 28 mall, Ganjlik mall, Crescent mall, Ganjlik, Icharishahar, Gala shopping village","Nizami, Targovy",Axşam (16:00 - 22:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Payız,Soyuq hava,Latte,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,60,10%,Xeyr,200+,100-200,200+,100-200,Bəli,5.3,5.8,3.9,5.8,8,7.5,7.5,6.6,4.8,Unknown,2.6,90,22,18,13,32,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friends Baku,Nizami,Bəli,"Targovy, Elmlar Akademiyası, 28 May",Targovy,Axşam (16:00 - 22:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Payız,Soyuq hava,Latte,Chai tea latte,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",4+ nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,10%,Bəli,100-200,100-200,100-200,200+,Bəli,6.1,6.9,3.9,6.9,7.9,7.9,7.9,7.7,5.5,+994 12 765 23 25,3.8,74,21,18,18,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuzzy Coffee&Wine,Nizami,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Latte,Mocha,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,150,"Xeyr, əksinə azalır",Bəli,200+,100-200,300+,200+,Bəli,6.1,6.8,4.5,6.8,8.2,8.4,8.4,7.5,5.5,+994 50 275 00 30,1.5,34,8,9,8,7,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cafe Botanist,Nizami,Bəli,Mirqasimov street 43 (Azadlıq filialı),Nizami,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yaz,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",4+ nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,"Xeyr, müştəri sayı eyni qalır",Xeyr,200+,100-200,300+,100-200,Bəli,6.2,7.2,4.7,7.2,8.6,8.7,8.7,7.8,5.5,+994 51 206 20 66,3.9,36,6,8,2,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinnabon,28 mall,Bəli,"Ganjlik mall, Crescent mall, Daniz mall, Targovy",Targovy,Günorta (12:00 - 16:00),"Şənbə, Bazar",Yay,Günəşli günlər,Latte,Tea,30 dəqiqə,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,20,10%,Bəli,100-200,100-200,100-200,100-200,Xeyr,5.6,6.4,3.8,6.4,7.8,7.6,7.6,7.5,3.8,+994 12 128 48 35,4.4,81,25,19,11,13,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria Jean's,28 mall,Bəli,"Targovy, Port Baku mall, Port Baku residence, Park Bulvar mall, Ganjlik mall, Crescent mall, Nizami, Ganjlik, Icharishahar, Gala shopping village","Targovy, Nizami",Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Latte,Raf coffee,1 saat və daha çox,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,20,10%,Bəli,100-200,200+,100-200,200+,Bəli,5.3,5.8,3.9,5.8,8,7.5,7.5,6.6,4.8,Unknown,2.6,90,22,18,13,32,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,28 mall,Bəli,"Ganjlik mall, Nizami, Port Baku, Targovy, Daniz mall, Crescent mall","Nizami, Targovy","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Latte,Espresso,1 saat və daha çox,"18-24, 25-34",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Bəli,200+,100-200,200+,200+,Bəli,7.2,8,5.6,8,10.2,10.2,10.2,8,5.3,+994 12 404 88 72,4.4,45,10,16,0,9,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friends Baku,Targovy,Bəli,"Nizami, Elmlar Akademiyası, 28 May",Targovy,Axşam (16:00 - 22:00),"Şənbə, Bazar",Qış,Günəşli günlər,Latte,Mocha,1 saat və daha çox,"18-24, 25-34",Yeni,Sosial görüşlər,4+ nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,60,20%,Bəli,200+,300+,100-200,300-400,Bəli,6.1,6.9,3.9,6.9,7.9,7.9,7.9,7.7,5.5,+994 12 562 23 49,1.2,118,38,25,31,9,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Cup,Targovy,Bəli,"Nariman Narimanov, Khatai, Port Baku, Port Baku Walk, White city, Statistika, Sevinc mall, Ganjlik","Targovy, Khatai",Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+20% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,50,10%,Bəli,200+,300+,100-200,300+,Bəli,6.2,8.3,3.5,6.9,8.3,8.3,8.3,7.9,5,+994 12 404 84 34,3.1,84,17,16,18,14,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupcup Coffee Baku,Targovy,Bəli,"Nizami, Whitestone Towers, Port Baku walk, Sea Breeze",Nizami,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Cappuccino,Matcha,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,70,10%,Bəli,100-200,200+,100-200,200+,Bəli,6.1,6.9,4.2,6.9,8.3,8.3,8.3,7.3,5.5,+994 51 206 02 30,2.8,61,12,16,16,14,3,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coffee nero,Ganjlik,Bəli,White city,Ganjlik,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Xeyr,100-200,100-200,100-200,200+,Xeyr,5,6.5,4,6,7.5,7.5,7.5,7,4,+994 50 319 83 20,4.2,51,12,16,14,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brew Mood,Daniz mall,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Qış,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,50,"Xeyr, müştəri sayı eyni qalır",Xeyr,50-100,100-200,100-200,200+,Bəli,5.6,6.3,4,5.8,7.8,7.5,7.5,7,4.5,+994 12 880 13 53,1.4,89,35,22,15,11,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cinnabon,Daniz mall,Bəli,"28 mall, Crescent mall, Targovy, Ganjlik mall",Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,0,20%,Bəli,50-100,100-200,50-100,100-200,Xeyr,5.6,6.4,3.8,6.4,7.8,7.6,7.6,7.5,3.8,+994 50 641 55 17,1.4,108,31,26,23,15,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Costa Coffee,Daniz mall,Bəli,"Nizami, Ganjlik mall, Targovy, Socar Tower, Maiden Tower, GYD Airport, Port Baku",Nizami,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Latte,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,1+1 (1 alana 1 pulsuz),Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,20,10%,Bəli,50-100,100-200,100-200,200+,Bəli,5.3,6,4,6,7.5,7.5,7.5,6,5.5,+994 12 285 72 35,2.4,31,5,11,7,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Starbucks,Daniz mall,Bəli,"Ganjlik mall, 28 mall, Nizami, Port Baku, Targovy, Crescent mall","Nizami, Targovy","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Latte,Espresso,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+20% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,100,20%,Bəli,200+,300+,200+,300+,Bəli,7.2,8,5.6,8,10.2,10.2,10.2,8,5.3,+994 12 404 88 72,4.4,45,10,16,0,9,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeebar Baku,Daniz mall,Bəli,"Targovy, White city, 28 May, Mardakan, M.Naxçıvani avenue","Targovy, Daniz mall","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Matcha,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,10%,Xeyr,200+,300+,100-200,300+,Bəli,6.9,7.9,4.8,6.5,8.8,7.5,7.5,7.8,5,+994 55 385 88 87,3.8,110,34,31,22,18,5,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coffeemania Next,Crescent mall,Bəli,"Khatai, White city, City park, Nariman Narimanov",Crescent Mall,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Payız,Günəşli günlər,Latte,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Kampaniya yoxdur,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,60,"Xeyr, müştəri sayı eyni qalır",Xeyr,100-200,200+,100-200,200+,Bəli,6.9,7.5,5.5,7.5,8.9,9,9,8.9,4.5,Unknown,4.7,33,7,7,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
